Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2013,"12        ",Male,16,Right-Handed,72,28,85,1,Car,5,.313,30,Lacrosse,700,1000,0,700,700,1000,28,"Same length",7.1,8,"Ring finger",June,Fall,No,No,Breads/Sandwiches,Water,"Mathematics and statistics",5.5,7,5,"Yes - broadband connection","Text messaging",100,100,10,.5,1,7,12,0,3,10,22,10,0,20,"A lot","Graduate degree",Reggae,Telepathy,Happy,Relative,Health
USA,NY,2022,"12        ",Male,17,Right-Handed,167,26,161,2,Walk,7,0.388,41,Walking/Hiking,960,970,780,700,970,860,26,"Same length",7,6,"Index finger",January,Spring,Yes,No,Meat,Water,History,8,9,4,"Yes - broadband connection","Internet chat or instant messaging",5,5,10,0,10,5,5,20,10,5,10,1,0,5,Some,"Graduate degree",Classical,Telepathy,Happy,Relative,"International aid"
USA,NY,2016,"11        ",Female,15,Right-Handed,175,23,175,3,Bus,60,1,12,Baseball/Softball,988,956,898,856,990,990,23,"Right foot",60,60,"Same length",October,Fall,No,No,Poultry,Water,Art,6,9,4,"Yes - broadband connection","Text messaging",100,100,8,1,15,10,10,0,1,2,18,1,0,5,"A lot","Graduate degree",Country,Fly,Happy,"Religious figure",Health
USA,NY,2019,"12        ",Female,16,Right-Handed,158,24,166,1,Car,15,0.74,33,"Martial Arts",900,800,500,500,600,700,23,"Right foot",75,70,"Index finger",August,Summer,Yes,No,"No favorite",Water,Music,4.5,8,5,"Yes - broadband connection","In person",27,21,5,1,30,10,6,2,7,4,5,7,0,4,"A lot","Some college",Other,Telepathy,Happy,Relative,Health
USA,NY,2017,"6         ",Female,11,Right-Handed,144,23,141,1,"Rail (Train/Tram/Subway)",25,0.562,55,Gymnastics,100,800,600,500,1000,1000,22,"Right foot",60,70,"Ring finger",June,Summer,No,No,"No favorite",,Other,9,9,5,"Yes - other","Text messaging",20,300,30,1,10,5,8,0,2,1,30,10,0,0,Some,"Graduate degree",Pop,Invisibility,Rich,Other,Other
USA,NY,2023,"12        ",Female,17,Right-Handed,161,21,164,1,Bus,12,0.552,48,Basketball,1000,900,800,800,400,500,22,"Left foot",60,60,"Same length",December,Summer,Yes,No,"No favorite",Water,English,7,9,5,"Yes - other","Text messaging",40,45,7,1,3,3,4,0,4,2,7,6,7,1,"Very little","Graduate degree",Pop,Telepathy,Happy,"Business person",Health
USA,NY,2020,"12        ",Female,17,Right-Handed,168.3,24.7,170.2,1,Car,12,.537,32,Soccer,594,465,711,733,524,711,24.8,"Left foot",76.2,78.7,"Ring finger",December,Fall,Yes,No,Fruit,Water,Art,6,8,3,"Yes - other","Text messaging",,,15,3,10,20,3,0,14,7,20,2,20,10,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2016,"12        ",Female,18,Right-Handed,175.3,25.1,174,1,Car,20,0.341,5,Dancing,,,,,,,25,"Right foot",83.82,87,"Ring finger",August,Fall,No,No,Desserts,Water,Music,5.5,8.5,3,"Yes - other","Internet chat or instant messaging",45,30,7,3,20,10,,,7.5,1.75,42,,,3.5,"A lot","Undergraduate degree","Rock and roll","Freeze time",Happy,"Musician or singer","Arts, culture, sports"
USA,NY,2020,"12        ",Female,17,Right-Handed,180,28,182,1,Car,20,.396,50,Athletics,1000,700,700,500,200,300,25,"Right foot",76,77,"Index finger",July,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",7,5,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,20,3,10,10,20,50,1,14,5,20,20,12,5,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2012,"6         ",Female,12,Right-Handed,154,7.5,150.8,2,Walk,20,.34,40,Dancing,904,364,444,1000,658,1000,7.4,"Right foot",5.,2.5,"Ring finger",April,Summer,No,No,Other,Juice,Other,7,9,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",40,37,49,10,4,8,11,14,44,15,34,8,5,7,"Very little","Undergraduate degree","Rap/Hip hop",Telepathy,Famous,"Musician or singer","Education/Youth development"
