Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2019,"12        ",Male,17,Right-Handed,170,22,65,2,Car,5,0.396,24,"Martial Arts",86,492,679,214,1000,1000,22,"Same length",100,98,"Index finger",April,Spring,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)",Science,8,12,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,2,3,0,6,0,5,10,15,1,25,3,36,1,"A lot","Graduate degree",Other,"Super strength",Happy,Other,"Education/Youth development"
USA,TX,2016,"12        ",Female,16,Right-Handed,168,37,163,1,Car,5,.394,50,Other,500,300,1000,1000,678,400,35,"Right foot",76,76,"Same length",August,Fall,Yes,No,Pizza/Pasta,Water,"Physical education",4,3,6,"Yes - broadband connection","In person",27,50,5,1,0,0,5,0,20,20,3,0,44,0,"A lot","Graduate degree",Country,Fly,Happy,"Doctor or nurse",Health
USA,TX,2021,"12        ",Male,18,Right-Handed,175.2,25.5,177,1,Car,7,.662,45,Basketball,250,600,650,700,800,1000,26,"Left foot",75,75,"Same length",July,Winter,Yes,No,Meat,Water,"Mathematics and statistics",8,7,4,"Yes - other","Cell phone",30,150,12,2,10,15,12,15,20,4,12,5,20,2,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,TX,2023,"12        ",Male,16,Right-Handed,176,9.5ft,180,1,Car,"5 ",6.8,58,Tennis,,,,,,,9.5,"Left foot",40,43,"Ring finger",,Fall,No,No,Meat,Water,"Mathematics and statistics",8,7,4,"Yes - broadband connection","Text messaging",50,100,8,1,12,10,15,4,8,.5,20,5,0,20,"Very little","Graduate degree",Other,Invisibility,Happy,Friend,Religious
USA,TX,2023,"12        ",Female,17,Right-Handed,162.5,20.32,162.5,1,Car,5,0.67,67,Soccer,,,,,,,,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2011,"12        ",Male,17,Left-Handed,182,26.99,187,3,Car,12,.328,30,Tennis,567,818,497,,1000,1000,27.01,"Left foot",84,86,"Ring finger",November,Winter,Yes,Yes,Pizza/Pasta,Water,Science,6,10,2,"Yes - broadband connection","In person",0,3,20,1,18,3,6,10,0,0,10,10,0,5,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,"Wildlife, animals"
USA,TX,2013,"12        ",Male,17,Right-Handed,188,28.9,198,1,Car,15,0.359,44,Bowling,813,813,727,754,684,743,28.8,"Same length",80,85,"Ring finger",January,Spring,Yes,No,Pizza/Pasta,Water,History,8,9,3,"Yes - broadband connection","In person",6,2,10,20,25,15,6,8,0,2,15,20,0,10,"A lot","Graduate degree",Other,Fly,Healthy,Relative,"Wildlife, animals"
USA,TX,2017,"12        ",Male,17,Right-Handed,180,28,167,2,Car,4,.325,42,"Football (American)",412,182,59,155,64,476,28,"Same length",8.4,8.6,"Index finger",January,Fall,No,No,Meat,Water,History,8,12,3,"Yes - broadband connection","Text messaging",17,21,35,1,7,3,14,3,11,7,6,4,0,3,Some,"Some college","Rap/Hip hop",Fly,Famous,Relative,Health
USA,TX,2013,"5         ",Female,11,Right-Handed,152,22,149,2,Bus,7,0.437,38,Other,1000,1000,1000,1000,154,15422,22,"Same length",10,7,"Ring finger",October,Summer,No,No,Fruit,"Powdered drink",Art,8,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,5,1,1,1,2,2,20,1,1,2,4,0,2,Some,"High school","Rap/Hip hop",Telepathy,Rich,Relative,"Wildlife, animals"
USA,TX,2023,"12        ",Female,17,Right-Handed,168,22,130,2,Car,5,0.453,30,Running/Jogging,412,230,316,337,166,551,22,"Same length",70,70,"Same length",June,Fall,Yes,No,"Rice/Noodle dishes",Water,Other,5,9,4,"Yes - other","In person",10,8,35,0,6,9,0,0,45,14,28,0,0,7,None,"Graduate degree","Rap/Hip hop",Fly,Happy,Teacher,"International aid"
USA,TX,2018,"4         ",Male,17,Left-Handed,178,30,175,1,Car,"5 ",38,61,Walking/Hiking,1000,433,1000,717,642,1000,30,"Same length",75,75,"Ring finger",April,Summer,Yes,No,Meat,"Soft drink (caffeinated)",Science,7.5,9,2,"Yes - other","Text messaging",100,100,10,10,0,48,48,10,78,78,10,6,36,10,"A lot","Some college","Rap/Hip hop",Fly,Healthy,Relative,Health
USA,TX,2014,"12        ",Female,18,Right-Handed,164.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2019,"10        ",Male,14,Right-Handed,175,,,2,Car,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2014,"12        ",Male,17,Right-Handed,,,,2,Car,10,,,Swimming,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
