Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,FL,2016,"11        ",Male,17,Right-Handed,175,26,169,1,Walk,10,.797,50,Walking/Hiking,536,530,626,530,425,516,26,"Same length",90,90,"Same length",November,Winter,No,No,"No favorite",Water,Other,9,9,5,"Yes - other","In person",0,0,5,0,3,2,2,3,4,1,3,3,0,5,Some,Other,Other,Fly,Happy,Relative,"International aid"
USA,FL,2019,"11        ",Male,16,Right-Handed,189,31,192,1,Car,10,.651,49,Baseball/Softball,50,40,40,40,0,50,31,"Same length",100,85,"Ring finger",March,Summer,No,No,Meat,Water,"Physical education",8,8,5,"Yes - other","Internet chat or instant messaging",6,20,10,10,4,10,20,0,2,1,4,0,15,3,"Very little",Other,Country,"Super strength",Happy,"Coach or club leader",Other
USA,FL,2018,"12        ",Male,17,Right-Handed,178,,216.4,1,Car,10,.1999,80,"Football (American)",500,500,200,799,400,800,50,"Same length",8,6,,January,Summer,Yes,No,Pizza/Pasta,Water,History,8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",60,500,50,2,10,10,18,4,12,10,40,4,0,0,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Business person","International aid"
USA,FL,2023,"11        ",Female,17,Right-Handed,171,27,166,1,Car,12,.452,48,"Martial Arts",998,500,400,700,500,600,27,"Same length",67,70,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,History,7,11,4,"Yes - broadband connection","Text messaging",35,70,8,1,6,6,7,1,8,4,6,7,0,4,"A lot","Some college",Other,"Freeze time",Rich,Relative,Environment
USA,FL,2017,"11        ",Female,12,Ambidextrous,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2021,"12        ",Female,18,Right-Handed,157,24,82,2,Car,25,.5,56,Running/Jogging,1000,900,800,700,100,200,24,"Left foot",80,70,"Index finger",July,Winter,No,No,"No favorite",Water,History,8,10,3,"Yes - other","Internet chat or instant messaging",two,two,5,5,20,10,10,0,15,15,15,15,2,10,"A lot","Graduate degree",Country,Telepathy,Happy,Relative,"Wildlife, animals"
USA,FL,2015,"12        ",Male,17,Right-Handed,178,28,69,1,Car,10,0.395,42,Basketball,500,100,300,300,1000,1000,28,"Same length",72,68,"Ring finger",April,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",8,10,4,"Yes - broadband connection","Cell phone",75,75,15,2,1,10,5,2,4,3,0,15,0,1,Some,"Graduate degree",Techno/Electronic,Fly,Rich,Relative,"Wildlife, animals"
USA,FL,2018,"11        ",Male,16,Right-Handed,178,27.5,184,2,Car,30,.31,42,Rowing,750,650,750,750,450,900,27.5,"Same length",110,115,"Ring finger",July,Fall,No,No,Desserts,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,5,1,5,5,20,2,5,5,10,1,0,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,FL,2018,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2018,"12        ",Male,17,Right-Handed,190,30,160,1,Car,12,12,13,Basketball,1,3,2,4,6,5,33,"Right foot",20,18,"Index finger",October,Summer,Yes,Yes,"No favorite",Juice,Languages,8,8,5,"No internet connection",Telephone,29,111,56,4,14,5,3,2,4,2,2,6,10,1,None,"Less than high school",Classical,Invisibility,Famous,"Sports person",Religious
USA,FL,2013,"12        ",Male,18,Right-Handed,181,27,175,3,Car,65,.32,12,Rowing,0,0,500,1,1000,900,27,"Right foot",110,115,"Ring finger",August,Fall,No,No,Meat,Coffee,"Physical education",4,15,5,"Yes - other","Text messaging",492,491,40,1,20,5,35,5,1,20,20,0,0,0,,"High school",Techno/Electronic,"Super strength",Healthy,"Religious figure",Other
USA,FL,2020,"11        ",Male,16,Right-Handed,71,11,71,2,Car,45,0.298,48,Tennis,250,1000,250,100,750,1000,11,"Left foot",43,45,"Ring finger",October,Summer,No,No,Seafood,Water,"Mathematics and statistics",5,10,5,"Yes - other","Text messaging",40,110,6,24,30,8,8,6,15,14,30,2,0,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Friend,Health
USA,FL,2015,"12        ",Male,17,Right-Handed,180.3,25.4,178,2,Car,25,.783,45,Basketball,200,100,50,50,1000,1000,25,"Right foot",11,13,"Ring finger",June,Winter,No,No,Poultry,"Soft drink (caffeinated)","Mathematics and statistics",8,11,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,32,26,2,6,5,0,0,20,15,10,7,0,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Business person",Health
USA,FL,2022,"11        ",Female,17,Right-Handed,170,25.1,125,1,Car,10,0.688,63,Other,,,,,,,24,"Right foot",60,70,"Ring finger",May,Fall,Yes,No,Pizza/Pasta,"Energy drink",Science,9,3-4,5,"Yes - other","Text messaging",100,100,24,5,10,6,10,0,100,100,100,30,0,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,Health
USA,FL,2019,"12        ",Female,16,Right-Handed,166,24,165,3,Car,10,.818,44,Athletics,781,594,321,513,711,888,23,"Right foot",80,90,"Ring finger",August,Fall,No,No,Fruit,Water,English,6,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,50,,,,,,,,,,,,,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,FL,2022,"11        ",Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2016,"7         ",Male,13,Ambidextrous,60,7,16,1,Car,10,5,10,"Football (American)",500,900,1000,800,800,700,7,"Same length",20,30,"Ring finger",July,Winter,Yes,No,Desserts,Water,"Social studies",6,9,5,"Yes - broadband connection",Telephone,0,0,8,1,1,5,5,6,4,1,3,1,0,1,Some,"Graduate degree",Techno/Electronic,Invisibility,Happy,Relative,Health
USA,FL,2021,"12        ",Female,17,Right-Handed,180,20,67,1,Car,8,0.337,38,Gymnastics,6,10,10,10,7,8,20,"Same length",70,70,"Same length",April,Spring,Yes,No,Breads/Sandwiches,Water,History,6,6,,"Yes - broadband connection","Text messaging",50,52,6,8,8,4,2,0,10,8,8,4,25,2,"A lot",Other,"Rhythm and blues (R&B)",Telepathy,Rich,Relative,"Wildlife, animals"
USA,FL,2019,"12        ",Male,15,Right-Handed,190.5,30,182,2,Car,15,.25,25,Other,200,200,200,200,1000,1000,30,"Right foot",85,85,"Ring finger",November,Winter,Yes,No,Meat,Water,"Computers and technology",6,9,4,"Yes - other","Text messaging",200,200,7,1,6,5,12,10,25,20,100,0,0,10,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"Arts, culture, sports"
USA,FL,2016,"12        ",Female,17,Right-Handed,154.4,"21 ",154,1,Car,"20 ",.469,53,Walking/Hiking,900,1000,900,800,600,700,21.1,"Left foot",90,95,"Ring finger",December,Summer,No,No,Pizza/Pasta,Water,English,7,10,4,"Yes - broadband connection","Text messaging",50,80,40,2,10,12,5,1,3,3,10,10,0,4,"A lot",,"Rap/Hip hop",Telepathy,Happy,"Community leader or elder","Education/Youth development"
USA,FL,2017,"12        ",Male,18,Right-Handed,193,28,193,1,Car,40,.296,44,Tennis,500,300,100,50,800,1000,27,"Right foot",203,200,"Index finger",September,Spring,No,No,Pizza/Pasta,Water,Science,7,9,4,"Yes - broadband connection","Text messaging",300,300,30,2,5,15,28,3,35,30,20,3,0,1,"A lot","Undergraduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Environment
