Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2014,"5         ",Female,10,Left-Handed,141,21,147,1,Walk,5,.859,49,Dancing,812,600,1000,950,1000,1000,20,"Right foot",60,50,"Index finger",November,Fall,No,No,Fruit,"Soft drink (caffeinated)",Art,11,9,4,"Yes - broadband connection","In person",30,50,25,5,2,10,20,2,5,8,6,4,0,1,None,"Some college",Other,Invisibility,Famous,Relative,"Education/Youth development"
USA,CA,2012,"12        ",Male,18,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2022,"12        ",Male,17,Right-Handed,179,27,171,1,Car,3,.3,27,"Martial Arts",500,500,1000,500,1000,1000,27,"Same length",72,84,"Ring finger",December,Winter,No,No,"No favorite",Water,"Computers and technology",6,8,4,"Yes - broadband connection","In person",50,50,5,3,10,2,10,5,7,1,40,2,0,5,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Arts, culture, sports"
USA,CA,2016,"11        ",Female,17,Left-Handed,51,11,15,2,Car,20,20,11,Walking/Hiking,,11,,,,,11,"Left foot",7,8,"Ring finger",June,Fall,Yes,No,Fruit,Water,Art,7,5,6,"No internet connection","In person",298,40,3,4,4,10,1,0,8,18,4,2,12,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,Health
USA,CA,2017,"7         ",Female,12,Right-Handed,65,22,160,0,Bus,60,0.441,"36 ",Soccer,1000,861,963,866,556,1000,22,"Same length",50,60,"Ring finger",October,Winter,No,No,"No favorite","Sports drink",Languages,8,12,4,"Yes - other","Text messaging",30,100,24,3,7,4,12,2,18,6,18,2,0,2,"A lot","Graduate degree",Pop,Telepathy,Happy,"Sports person","Wildlife, animals"
USA,CA,2016,"12        ",Male,17,Right-Handed,175,24,170,1,Walk,7,0.30,33,Tennis,492,743,465,316,797,797,24,"Same length",83,89,"Ring finger",May,Summer,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,8,3,"Yes - broadband connection","Text messaging",10,25,20,0,10,2,20,5,10,5,20,0,0,5,Some,Other,"Punk rock",Fly,Happy,Relative,Health
USA,CA,2017,"12        ",Male,17,Right-Handed,182.5,27,186,2,Car,10,0.332,58,Tennis,1000,813,1000,1000,59,503,27,"Same length",10.5,11,"Index finger",January,Winter,Yes,No,Poultry,Water,Science,6,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",400,400,15,3,21,4,26,1,15,15,20,15,30,3,None,"Graduate degree",Techno/Electronic,"Freeze time",Rich,Actor,Health
USA,CA,2013,"12        ",Male,16,Right-Handed,166,25,172,2,Bus,30,.274,41,Baseball/Softball,567,551,556,556,535,529,26,"Left foot",72,78,"Ring finger",November,Summer,No,No,"No favorite",Water,History,6,8,3,"Yes - broadband connection","In person",400,400,7,2,6,10,15,15,3,50,7,7,10,1,Some,"Some college","Rap/Hip hop",Fly,Happy,Other,Health
USA,CA,2019,"8         ",Female,13,Right-Handed,,,,3,Car,5,1.128,46,Dancing,1000,800,700,500,70,0,,,,,"Same length",May,Summer,No,No,"No favorite",Water,Other,8,9,5,"Yes - other","Text messaging",20,30,1,1,4,6,1,0,1,1,2,2,0,0,,"Graduate degree",Other,Telepathy,,"Doctor or nurse",Environment
USA,CA,2019,"11        ",Male,17,Right-Handed,185,27,186,1,Car,20,.291,51,Other,781,770,781,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
