Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Female,Right-Handed,Other,759,October,Juice,Mathematics and statistics,11,0,3,Graduate degree
CA,Male,Right-Handed,Bowling,900,December,Water,History,5,0,0,Undergraduate degree
CA,Female,Right-Handed,Baseball/Softball,390,November,Water,Social studies,5,1,2,Graduate degree
CA,Female,Right-Handed,Skateboarding/Rollerblading,1000,March,Water,Science,9,2,14,Graduate degree
CA,Female,Left-Handed,Golf,1000,May,Water,Computers and technology,8,15,0,Graduate degree
CA,Female,Right-Handed,Basketball,1000,July,Water,Art,6,0,20,Graduate degree
CA,Male,Right-Handed,Other,930,July,Milk,English,8,0,10,Graduate degree
CA,Female,Right-Handed,Soccer,1000,November,Water,Art,12,0,1,Graduate degree
CA,Male,Right-Handed,Basketball,500,October,Water,Mathematics and statistics,8,3,1,Undergraduate degree
CA,Male,Right-Handed,Soccer,600,August,Soft drink (caffeinated),Computers and technology,9,0,10,Undergraduate degree
CA,Male,Right-Handed,Football (American),999,September,Water,Physical education,9,0,1,Graduate degree
CA,Male,Right-Handed,Dancing,620,June,Juice,Mathematics and statistics,5,0,4,Some college
CA,Female,Right-Handed,Tennis,900,July,Water,Science,8,4,6,Other
CA,Male,Right-Handed,Basketball,7,April,Water,Physical education,8,0,1,Graduate degree
CA,Male,Left-Handed,Soccer,800,June,Water,Science,10,0,1,Graduate degree
CA,Female,Right-Handed,Other,900,September,Water,Other,8,0,1,Graduate degree
CA,Female,Right-Handed,Swimming,588,February,Water,Science,8,0,2,Graduate degree
CA,Male,Ambidextrous,Basketball,700,April,Sports drink,Science,5,2,3,Graduate degree
CA,Female,Right-Handed,Dancing,1000,April,Water,English,7,20,0,Graduate degree
CA,Male,Right-Handed,Golf,100,January,Water,Other,8,0,0,Graduate degree
CA,Female,Right-Handed,Basketball,1000,May,Water,Social studies,10,0,4,Graduate degree
CA,Female,Right-Handed,Bowling,529,May,Soft drink (caffeinated),English,12,0,0,Some college
CA,Male,Ambidextrous,Dancing,1000,January,Water,Computers and technology,4,0,2,Graduate degree
CA,Female,Right-Handed,Soccer,877,December,Water,Physical education,9,0,5,Graduate degree
CA,Male,Right-Handed,Lacrosse,800,May,Water,History,10,0,0,Graduate degree
CA,Male,Right-Handed,Walking/Hiking,893,December,Water,Science,8,0,7,Graduate degree
CA,Female,Right-Handed,Tennis,50,June,Water,Art,9,0,7,Undergraduate degree
CA,Female,Right-Handed,Golf,1000,January,Water,Music,9,0,2,Graduate degree
CA,Male,Right-Handed,Swimming,900,August,Water,Computers and technology,8,0,1,Graduate degree
CA,Male,Left-Handed,Athletics,765,October,Water,Art,12,0,0,Graduate degree
CA,Female,Left-Handed,Swimming,845,October,Water,Science,9,0,18,Graduate degree
CA,Female,Right-Handed,Dancing,572,August,Water,Computers and technology,10,0,7,Graduate degree
CA,Male,Left-Handed,Other,1000,January,Water,Social studies,8,0,5,Graduate degree
CA,Male,Right-Handed,Martial Arts,650,February,Water,Computers and technology,8,0,2,Graduate degree
CA,Female,Right-Handed,Athletics,800,October,Tea,Languages,10,0,10,Graduate degree
CA,Male,Left-Handed,Athletics,45,August,Sports drink,English,1,2,5,High school
CA,Male,Right-Handed,Baseball/Softball,545,March,Water,Mathematics and statistics,9,0,1,Graduate degree
CA,Male,Right-Handed,Other,583,January,Coffee,Mathematics and statistics,9,0,3,Graduate degree
CA,Male,Right-Handed,Basketball,900,December,Water,Mathematics and statistics,8,0,4,Undergraduate degree
CA,Female,Right-Handed,Soccer,658,January,Water,History,9,5,5,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,701,June,Water,Mathematics and statistics,11,2,2,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,500,August,Water,History,12,0,1,Some college
CA,Male,Right-Handed,Basketball,700,August,Soft drink (caffeinated),Computers and technology,7,0,5,Graduate degree
CA,Female,Right-Handed,Swimming,1000,February,Water,History,9,0,2,Undergraduate degree
CA,Male,Left-Handed,Golf,200,July,Water,Mathematics and statistics,8,0,0,Graduate degree
CA,Female,Right-Handed,Dancing,775,May,Water,Art,8,1,3,Graduate degree
CA,Male,Right-Handed,Athletics,900,February,Water,Science,11,0,6,Graduate degree
CA,Female,Right-Handed,Hockey (Field),802,June,Water,Science,8,0,1,Graduate degree
CA,Female,Right-Handed,Other,775,September,Water,Science,10,20,1,Graduate degree
CA,Female,Left-Handed,Dancing,1000,May,Water,English,6,0,0,Other
CA,Female,Right-Handed,Soccer,1000,November,Juice,English,12,0,5,Graduate degree
CA,Male,Right-Handed,Walking/Hiking,700,July,Water,Languages,10,0,0,Undergraduate degree
CA,Female,Left-Handed,Martial Arts,783,November,Tea,Science,8,8,5,Graduate degree
CA,Female,Ambidextrous,Baseball/Softball,845,September,Water,Art,9,0,1,Graduate degree
CA,Male,Right-Handed,Other,513,July,Water,Mathematics and statistics,12,16,0,Graduate degree
CA,Female,Right-Handed,Other,1000,November,Water,Science,4,0,2,High school
CA,Female,Right-Handed,Other,497,January,Water,Mathematics and statistics,8,0,7,Graduate degree
CA,Male,Right-Handed,Basketball,1000,September,Water,Physical education,8,10,10,Some college
CA,Female,Right-Handed,Hockey (Field),1000,July,Water,Art,9,3,0,Graduate degree
CA,Female,Right-Handed,Gymnastics,1000,July,Water,Physical education,10,0,19,High school
CA,Male,Right-Handed,Basketball,1000,October,Water,Computers and technology,11,0,3,High school
CA,Female,Right-Handed,Other,1000,June,Water,Mathematics and statistics,9,0,1,Graduate degree
CA,Male,Right-Handed,Soccer,1000,June,Sports drink,Computers and technology,10,0,6,Graduate degree
CA,Female,Right-Handed,Soccer,727,December,Coffee,Art,7,0,1,Graduate degree
CA,Female,Right-Handed,Athletics,503,August,Water,Physical education,15,1,5,Some college
CA,Female,Right-Handed,Soccer,800,July,Water,English,9,2,1,Graduate degree
CA,Female,Right-Handed,Basketball,1000,April,Sports drink,Mathematics and statistics,12,0,1,Other
CA,Female,Right-Handed,Athletics,800,August,Water,Art,10,25,40,Graduate degree
CA,Male,Right-Handed,Basketball,500,December,Soft drink (caffeinated),Art,5,0,5,Undergraduate degree
CA,Male,Right-Handed,Swimming,1000,May,Water,History,11,2,1,High school
